timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676157943555,135,HTTP Request,502,Bad Gateway,Thread Group 1-533,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,796,155,162,162,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,135,0,0
1676157943552,142,HTTP Request,502,Bad Gateway,Thread Group 1-602,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,790,155,161,161,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,142,0,0
1676157941146,2551,HTTP Request,502,Bad Gateway,Thread Group 1-714,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,798,155,160,160,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2551,0,0
1676157941078,2624,HTTP Request,502,Bad Gateway,Thread Group 1-891,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,792,155,159,159,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2624,0,0
1676157943519,184,HTTP Request,502,Bad Gateway,Thread Group 1-319,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,792,155,158,158,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,184,0,0
1676157941183,2523,HTTP Request,502,Bad Gateway,Thread Group 1-306,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,798,155,157,157,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2523,0,0
1676157943572,136,HTTP Request,502,Bad Gateway,Thread Group 1-713,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,800,155,156,156,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,136,0,0
1676157939162,4550,HTTP Request,502,Bad Gateway,Thread Group 1-937,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,790,155,155,155,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,4550,0,1990
1676157939402,4324,HTTP Request,502,Bad Gateway,Thread Group 1-961,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,798,155,155,155,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,4324,0,1368
1676157941170,2559,HTTP Request,502,Bad Gateway,Thread Group 1-767,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,794,155,155,155,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2559,0,0
1676157940782,2947,HTTP Request,502,Bad Gateway,Thread Group 1-352,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,798,155,155,155,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2947,0,0
1676157938024,5705,HTTP Request,200,OK,Thread Group 1-361,text,true,,798,155,155,155,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,5705,0,1889
1676157937465,6268,HTTP Request,200,OK,Thread Group 1-67,text,true,,804,155,153,153,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,6267,0,1612
1676157941163,2582,HTTP Request,502,Bad Gateway,Thread Group 1-912,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,796,155,153,153,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2582,0,0
1676157941108,2640,HTTP Request,502,Bad Gateway,Thread Group 1-496,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,800,155,152,152,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2640,0,0
1676157943588,163,HTTP Request,502,Bad Gateway,Thread Group 1-375,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,792,155,151,151,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,163,0,0
1676157941085,2671,HTTP Request,502,Bad Gateway,Thread Group 1-803,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,796,155,150,150,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2671,0,0
1676157939339,4418,HTTP Request,502,Bad Gateway,Thread Group 1-564,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,792,155,149,149,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,4418,0,1732
1676157941202,2561,HTTP Request,502,Bad Gateway,Thread Group 1-649,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,794,155,149,149,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2561,0,0
1676157941090,2690,HTTP Request,502,Bad Gateway,Thread Group 1-523,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,796,155,148,148,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2690,0,0
1676157941195,2585,HTTP Request,502,Bad Gateway,Thread Group 1-355,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,796,155,148,148,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2585,0,0
1676157941078,2703,HTTP Request,502,Bad Gateway,Thread Group 1-518,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,794,155,146,146,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2703,0,0
1676157941134,2647,HTTP Request,502,Bad Gateway,Thread Group 1-698,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,790,155,146,146,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2647,0,0
1676157937958,5824,HTTP Request,200,OK,Thread Group 1-276,text,true,,798,155,145,145,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,5824,0,1859
1676157941080,2702,HTTP Request,502,Bad Gateway,Thread Group 1-502,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,796,155,145,145,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2701,0,0
1676157938109,5676,HTTP Request,200,OK,Thread Group 1-282,text,true,,800,155,143,143,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,5676,0,1822
1676157938044,5741,HTTP Request,200,OK,Thread Group 1-376,text,true,,800,155,143,143,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,5741,0,1890
1676157941110,2685,HTTP Request,502,Bad Gateway,Thread Group 1-852,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,792,155,143,143,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2685,0,0
1676157943686,125,HTTP Request,502,Bad Gateway,Thread Group 1-172,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,794,155,142,142,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,125,0,0
1676157943677,134,HTTP Request,502,Bad Gateway,Thread Group 1-136,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,804,155,142,142,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,134,0,0
1676157941056,2761,HTTP Request,502,Bad Gateway,Thread Group 1-775,text,false,Msg_Erro: Poxa vida a api respondeu com outro status code!,802,155,140,140,https://deckofcardsapi.com/api/deck/new/shuffle/?deck_count=1,2761,0,0
